Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-1.929560515,-0.849974182,-4.28920927,-2.549257087
-2.123351572,-0.864947114,-4.442081744,-2.612829925
-1.776660214,-0.72378288,-4.20567519,-2.338088181
-1.459361231,-0.587696714,-3.994155125,-1.895652493
-1.751305885,-0.726903811,-4.190696614,-2.27622244
-1.708219972,-0.651872931,-4.160384552,-2.19948033
-1.77890625,-0.679869051,-4.217889638,-2.171505678
-1.54352577,-0.587154513,-4.042069866,-1.904040713
-1.140871232,-0.454821688,-3.928505249,-0.966334334
-0.479070268,-0.267964295,-3.368351868,-0.177958261
-1.036930758,-0.396357184,-3.861888789,-0.845539418
-0.457622268,-0.1220852,-3.316916164,-0.159648175
-2.447647901,-1.017428262,-4.700534197,-2.507404462
-2.140901096,-0.828570529,-4.510647336,-2.189243027
-2.092541175,-0.829138409,-4.488700333,-2.110663608
-1.699177895,-0.810108986,-4.15982454,-1.833856299
-1.721742679,-0.711114479,-4.216275987,-1.660388335
-1.05726642,-0.603150436,-3.603025077,-1.020633832
-1.785732001,-0.723846589,-4.252707626,-1.811567821
-1.996771233,-0.672207655,-4.450312566,-1.974315741
-1.287888715,-0.622789129,-3.809002935,-1.305148074
-1.748922956,-0.718792043,-4.199473846,-1.929006887
-2.155871379,-0.780587942,-4.526794077,-2.37869886
-0.846246568,-0.500174043,-3.433241493,-0.774173627
-1.361687325,-0.540587063,-3.918227468,-1.349755652
-1.163182192,-0.42550084,-3.829635315,-0.95853492
-0.866516001,-0.343479144,-3.56450451,-0.596247327
-0.504222119,-0.265517652,-3.188599407,-0.426208911
-1.14815399,-0.43862421,-3.76459096,-1.406744012
-0.47892629,-0.226955061,-3.188986239,-0.353250427
-1.075925952,-0.451540404,-3.684969171,-1.187928068
-0.279879407,-0.216239753,-2.951589455,-0.254492764
-0.688843876,-0.251778033,-3.451864096,-0.475137119
-1.037598765,-0.371385005,-3.725201871,-1.185916501
-0.887730375,-0.264123834,-3.651191752,-0.789231493
-0.671856599,-0.21917599,-3.411085215,-0.520206811
-1.962473693,-0.835735289,-4.393912047,-1.939910353
-1.267278172,-0.666589878,-3.825728826,-1.164249581
-2.009708764,-0.915802251,-4.411236306,-2.156718928
-1.367866778,-0.755286403,-3.885436249,-1.264543454
-1.807261364,-0.85072385,-4.250975218,-1.904797323
-1.761936155,-0.857936118,-4.196083004,-1.988940391
-2.350956794,-1.10093882,-4.568277951,-2.615752159
-2.048549591,-0.903207558,-4.423096329,-2.332023464
-1.639767557,-0.761415632,-4.12030856,-1.747670131
-1.466506296,-0.552565418,-4.027800012,-1.359884909
-1.243472341,-0.567379519,-3.821334678,-1.073517279
-1.595715167,-0.779872099,-4.070284108,-1.752935392
-1.348395879,-0.658179025,-3.9007275,-1.368279025
-1.487083327,-0.684612092,-3.999753254,-1.571558131
-1.51370171,-0.689671771,-4.022704266,-1.567837873
-1.293823092,-0.533505242,-3.86335544,-1.205123718
-2.230860313,-0.90655548,-4.535349194,-2.485016264
-1.254379015,-0.597376653,-3.804403429,-1.33035743
-1.728678664,-0.605867592,-4.250269589,-1.669328793
-2.0175816,-0.710178113,-4.464524258,-2.14754314
-1.957898637,-0.791937984,-4.360128786,-2.25767829
-1.459990542,-0.50101652,-4.05030594,-1.384982216
-1.646723797,-0.690548068,-4.101988602,-2.046456737
-1.41310424,-0.554743452,-3.999009392,-1.344566405
-1.875200669,-0.706095822,-4.323046263,-2.148193141
-1.262000501,-0.414484821,-3.922886678,-1.032216145
-1.307017889,-0.489907553,-3.899416759,-1.364896716
-1.080245269,-0.410237374,-3.720538928,-0.97437046
-0.956477414,-0.476978439,-3.518453627,-1.171408608
-0.972534782,-0.483624891,-3.55836485,-1.160118195
-1.261767381,-0.563326049,-3.803618606,-1.598702189
-0.933342435,-0.469410651,-3.526845915,-1.091338529
-1.018726847,-0.493786827,-3.597243556,-1.206285515
-0.884455702,-0.324421473,-3.589788119,-0.76512724
-0.831667785,-0.438635181,-3.4478463,-0.985868145
-0.971060988,-0.333056994,-3.658231534,-0.871629032
-0.628733859,-0.377456533,-3.247032788,-0.695918585
-0.63149576,-0.304172504,-3.285532077,-0.52695008
-0.869747117,-0.396667057,-3.521487997,-0.957970239
-0.561286353,-0.240466926,-3.277935651,-0.431373839
-0.955243947,-0.391839021,-3.598614638,-0.98922067
-0.236235851,-0.105685439,-3.356676213,0.5856840422
0.1766746896,0.0669381069,-2.610273592,0.6600163954
0.0029025383,0.0272858435,-2.81193005,0.5320157426
-0.195492133,-0.160834855,-3.075614354,0.0955914348
-0.157781487,-0.051380691,-3.241560291,0.6762806144
-0.469338042,-0.235472183,-3.420768711,-0.072146789
