F1,F2,F3,F4
3.8781,0.2212,3.4401,0.3323
3.8773,0.2206,3.4344,0.3225
3.8667,0.2254,3.4314,0.317
3.8749,0.2195,3.436,0.3231
3.8667,0.2225,3.431,0.3241
3.8725,0.2218,3.4251,0.3151
3.8808,0.2291,3.432,0.3209
3.8749,0.2208,3.4342,0.3235
3.8758,0.2195,3.4297,0.3355
3.8737,0.2208,3.4289,0.3352
3.8767,0.2209,3.43,0.3372
3.8722,0.23,3.4262,0.331
3.8533,0.2306,3.4284,0.3273
3.8717,0.2228,3.4283,0.3279
3.8684,0.2219,3.4293,0.331
3.8686,0.2188,3.4287,0.3315
3.8658,0.2298,3.431,0.3311
3.8669,0.2229,3.4287,0.3296
3.871,0.2295,3.4227,0.3332
3.8745,0.2227,3.4255,0.3315
3.8705,0.2211,3.431,0.3292
3.8738,0.2221,3.4287,0.3271
3.8751,0.2281,3.4307,0.331
3.869,0.2169,3.4303,0.3285
3.8722,0.2226,3.4283,0.3261
3.8709,0.2302,3.4299,0.3331
3.8735,0.2231,3.4369,0.3387
3.8744,0.2224,3.4283,0.3261
3.8728,0.2222,3.4295,0.3276
3.8701,0.2227,3.4305,0.3288
3.8646,0.2228,3.437,0.3376
3.869,0.2288,3.437,0.3357
3.8778,0.2235,3.4331,0.3305
3.8771,0.2217,3.4318,0.3315
3.874,0.2291,3.4384,0.336
3.8821,0.2202,3.431,0.3306
3.8808,0.2293,3.4308,0.3284
3.8711,0.2224,3.4421,0.3379
3.8717,0.2227,3.4297,0.3244
3.8778,0.2223,3.4306,0.3275
3.8705,0.2312,3.41,0.3314
3.8737,0.2304,3.4395,0.3217
3.8825,0.2278,3.4336,0.3275
3.8705,0.2223,3.4349,0.3145
3.8771,0.2293,3.4295,0.3302
3.8832,0.219,3.4317,0.3271
3.8816,0.2275,3.4357,0.3164
3.8845,0.2222,3.4285,0.3276
3.8814,0.2206,3.4435,0.3229
3.8807,0.2291,3.4418,0.3208
3.8808,0.221,3.4412,0.3227
3.8824,0.2218,3.4389,0.3192
3.8775,0.2299,3.4481,0.325
3.873,0.2299,3.4483,0.3259
3.8793,0.2279,3.4491,0.3281
3.8769,0.2284,3.444,0.3335
3.8762,0.2219,3.4461,0.3309
3.8774,0.2224,3.4486,0.3295
3.8775,0.229,3.4472,0.3316
3.8614,0.2315,3.4357,0.3299
3.8355,0.2311,3.4483,0.3297
3.8751,0.231,3.4483,0.3317
3.886,0.2217,3.4391,0.3357
3.8843,0.2278,3.4259,0.3184
3.8805,0.2206,3.4427,0.3368
3.8872,0.2198,3.4389,0.3374
3.8895,0.2275,3.4395,0.3355
3.8859,0.2286,3.4444,0.3395
3.8805,0.2215,3.437,0.3325
3.8809,0.2253,3.4418,0.3351
3.8883,0.2285,3.4407,0.337
3.8645,0.23,3.4447,0.3353
3.8809,0.2209,3.438,0.3273
3.8433,0.2321,3.435,0.3287
3.8815,0.2202,3.4344,0.3331
3.8753,0.2288,3.4368,0.3277
3.8769,0.2203,3.4337,0.3278
3.8769,0.2209,3.4365,0.3299
3.8772,0.2199,3.4367,0.3308
3.8777,0.2277,3.427,0.3306
3.8759,0.2284,3.4362,0.3321
3.8764,0.2263,3.4345,0.332
3.8821,0.2287,3.4404,0.3317
3.8575,0.23,3.433,0.3433
3.876,0.2282,3.4393,0.335
3.8797,0.2295,3.4425,0.3407
3.8816,0.2297,3.4423,0.338
3.8826,0.2281,3.4438,0.3359
3.8849,0.2207,3.4426,0.3383
3.87,0.2307,3.4583,0.3383
3.8922,0.2205,3.4582,0.3388
3.8834,0.2302,3.4599,0.339
3.8861,0.2211,3.4463,0.3333
3.8882,0.2204,3.4417,0.3374
3.8814,0.2265,3.4475,0.3353
3.8893,0.2278,3.4439,0.3342
3.8866,0.2283,3.4421,0.3346
3.889,0.2282,3.442,0.3294
3.8803,0.2218,3.4447,0.3346
3.8748,0.229,3.45,0.3217
3.8844,0.2279,3.436,0.3426
3.885,0.2275,3.4385,0.3417
3.8795,0.2279,3.4342,0.3455
