Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-0.511165657,-0.761876357,-3.002228688,-0.366202526
0.1282840821,-0.681586775,-2.214261629,0.0895802325
-0.457258979,-0.72053096,-2.917834576,-0.53240459
0.0617120183,-0.572850014,-2.287632047,-0.154631491
-0.103042326,-0.628494087,-2.465467232,-0.382158725
0.1004179355,-0.258997534,-2.362533919,0.0270939571
0.2631392898,-0.16104008,-2.206610629,0.2655271505
0.3628985113,-0.129936789,-2.087862224,0.3294516156
0.234100145,-0.175881638,-2.250954555,0.1674194443
0.4796211427,-0.114615773,-1.916170247,0.3910205424
0.2099480841,-0.166332431,-2.276039198,0.1897432911
